,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020
49,2021,Georgia,13,1406000,1839879,31443,848653,1925374,1969736,2252662,5107889,4864813,243076,4.8,5121172,4915713,205459,4,5152944,4967503,185441,3.6,5079555,4751105,328450,6.5,5186969,4983732,203237,3.9,62800,100
50,2017,Hawaii,15,178000,0,0,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
51,2018,Hawaii,15,712000,0,0,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
52,2019,Hawaii,15,165000,0,0,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
53,2020,Hawaii,15,185000,21026,286,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
54,2021,Hawaii,15,187000,109576,1079,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
55,2017,Idaho,16,244000,0,0,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
56,2018,Idaho,16,3229000,0,0,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
57,2019,Idaho,16,262000,0,0,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
58,2020,Idaho,16,293000,141077,1436,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
59,2021,Idaho,16,311000,319382,4162,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
60,2017,Illinois,17,1587000,0,0,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
61,2018,Illinois,17,920000,0,0,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
62,2019,Illinois,17,1526000,0,0,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
63,2020,Illinois,17,1754000,963389,17978,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
64,2021,Illinois,17,1858000,2181009,31017,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
65,2017,Indiana,18,993000,0,0,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
66,2018,Indiana,18,1124000,0,0,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
67,2019,Indiana,18,988000,0,0,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
68,2020,Indiana,18,1125000,511698,8236,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
69,2021,Indiana,18,1129000,1246854,19037,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
70,2017,Iowa,19,392000,0,0,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
71,2018,Iowa,19,102000,0,0,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
72,2019,Iowa,19,418000,0,0,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
73,2020,Iowa,19,441000,280669,3891,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
74,2021,Iowa,19,473000,582348,7858,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
75,2017,Kansas,20,371000,0,0,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
76,2018,Kansas,20,244000,0,0,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
77,2019,Kansas,20,387000,0,0,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
78,2020,Kansas,20,420000,222433,2741,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
79,2021,Kansas,20,442000,519544,7001,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
80,2017,Kentucky,21,663000,0,0,389642,990196,895321,759332,2053398,1955234,98164,4.8,2054913,1968398,86515,4.2,2070409,1986171,84238,4.1,2016802,1886999,129803,6.4,2036942,1941737,95205,4.7,54074,100
81,2018,Kentucky,21,305000,0,0,389642,990196,895321,759332,2053398,1955234,98164,4.8,2054913,1968398,86515,4.2,2070409,1986171,84238,4.1,2016802,1886999,129803,6.4,2036942,1941737,95205,4.7,54074,100
82,2019,Kentucky,21,737000,0,0,389642,990196,895321,759332,2053398,1955234,98164,4.8,2054913,1968398,86515,4.2,2070409,1986171,84238,4.1,2016802,1886999,129803,6.4,2036942,1941737,95205,4.7,54074,100
83,2020,Kentucky,21,746000,275018,4861,389642,990196,895321,759332,2053398,1955234,98164,4.8,2054913,1968398,86515,4.2,2070409,1986171,84238,4.1,2016802,1886999,129803,6.4,2036942,1941737,95205,4.7,54074,100
84,2021,Kentucky,21,762000,880163,13063,389642,990196,895321,759332,2053398,1955234,98164,4.8,2054913,1968398,86515,4.2,2070409,1986171,84238,4.1,2016802,1886999,129803,6.4,2036942,1941737,95205,4.7,54074,100
85,2017,Louisiana,22,678000,0,0,444176,1044356,870441,780547,2108485,2000487,107998,5.1,2112495,2010719,101776,4.8,2108410,2010405,98005,4.6,2062175,1882665,179510,8.7,2062492,1949403,113089,5.5,51730,100
86,2018,Louisiana,22,862000,0,0,444176,1044356,870441,780547,2108485,2000487,107998,5.1,2112495,2010719,101776,4.8,2108410,2010405,98005,4.6,2062175,1882665,179510,8.7,2062492,1949403,113089,5.5,51730,100
87,2019,Louisiana,22,599000,0,0,444176,1044356,870441,780547,2108485,2000487,107998,5.1,2112495,2010719,101776,4.8,2108410,2010405,98005,4.6,2062175,1882665,179510,8.7,2062492,1949403,113089,5.5,51730,100
88,2020,Louisiana,22,715000,315275,7488,444176,1044356,870441,780547,2108485,2000487,107998,5.1,2112495,2010719,101776,4.8,2108410,2010405,98005,4.6,2062175,1882665,179510,8.7,2062492,1949403,113089,5.5,51730,100
89,2021,Louisiana,22,734000,828695,14986,444176,1044356,870441,780547,2108485,2000487,107998,5.1,2112495,2010719,101776,4.8,2108410,2010405,98005,4.6,2062175,1882665,179510,8.7,2062492,1949403,113089,5.5,51730,100
90,2017,Maine,23,217000,0,0,66525,307457,289228,319175,703871,680164,23707,3.4,703138,681334,21804,3.1,701631,682271,19360,2.8,675231,641262,33969,5,681884,650334,31550,4.6,59145,100
91,2018,Maine,23,309000,0,0,66525,307457,289228,319175,703871,680164,23707,3.4,703138,681334,21804,3.1,701631,682271,19360,2.8,675231,641262,33969,5,681884,650334,31550,4.6,59145,100
92,2019,Maine,23,187000,0,0,66525,307457,289228,319175,703871,680164,23707,3.4,703138,681334,21804,3.1,701631,682271,19360,2.8,675231,641262,33969,5,681884,650334,31550,4.6,59145,100
93,2020,Maine,23,223000,25924,347,66525,307457,289228,319175,703871,680164,23707,3.4,703138,681334,21804,3.1,701631,682271,19360,2.8,675231,641262,33969,5,681884,650334,31550,4.6,59145,100
94,2021,Maine,23,238000,154173,1531,66525,307457,289228,319175,703871,680164,23707,3.4,703138,681334,21804,3.1,701631,682271,19360,2.8,675231,641262,33969,5,681884,650334,31550,4.6,59145,100
95,2017,Maryland,24,735000,0,0,393028,1006008,1062484,1703178,3243896,3114580,129316,4,3261068,3142323,118745,3.6,3326497,3212155,114342,3.4,3227527,3012106,215421,6.7,3175550,2992228,183322,5.8,88589,100
96,2018,Maryland,24,5241000,0,0,393028,1006008,1062484,1703178,3243896,3114580,129316,4,3261068,3142323,118745,3.6,3326497,3212155,114342,3.4,3227527,3012106,215421,6.7,3175550,2992228,183322,5.8,88589,100
97,2019,Maryland,24,758000,0,0,393028,1006008,1062484,1703178,3243896,3114580,129316,4,3261068,3142323,118745,3.6,3326497,3212155,114342,3.4,3227527,3012106,215421,6.7,3175550,2992228,183322,5.8,88589,100
98,2020,Maryland,24,781000,276662,6257,393028,1006008,1062484,1703178,3243896,3114580,129316,4,3261068,3142323,118745,3.6,3326497,3212155,114342,3.4,3227527,3012106,215421,6.7,3175550,2992228,183322,5.8,88589,100
99,2021,Maryland,24,810000,720888,11875,393028,1006008,1062484,1703178,3243896,3114580,129316,4,3261068,3142323,118745,3.6,3326497,3212155,114342,3.4,3227527,3012106,215421,6.7,3175550,2992228,183322,5.8,88589,100
100,2017,Massachusetts,25,1056000,0,0,429794,1133358,1108037,2144142,3724520,3582389,142131,3.8,3809873,3678445,131428,3.4,3831947,3714547,117400,3.1,3741684,3390249,351435,9.4,3750870,3535478,215392,5.7,87288,100
101,2018,Massachusetts,25,1106000,0,0,429794,1133358,1108037,2144142,3724520,3582389,142131,3.8,3809873,3678445,131428,3.4,3831947,3714547,117400,3.1,3741684,3390249,351435,9.4,3750870,3535478,215392,5.7,87288,100
102,2019,Massachusetts,25,1034000,0,0,429794,1133358,1108037,2144142,3724520,3582389,142131,3.8,3809873,3678445,131428,3.4,3831947,3714547,117400,3.1,3741684,3390249,351435,9.4,3750870,3535478,215392,5.7,87288,100
103,2020,Massachusetts,25,1155000,375178,12613,429794,1133358,1108037,2144142,3724520,3582389,142131,3.8,3809873,3678445,131428,3.4,3831947,3714547,117400,3.1,3741684,3390249,351435,9.4,3750870,3535478,215392,5.7,87288,100
104,2021,Massachusetts,25,1157000,1140614,20273,429794,1133358,1108037,2144142,3724520,3582389,142131,3.8,3809873,3678445,131428,3.4,3831947,3714547,117400,3.1,3741684,3390249,351435,9.4,3750870,3535478,215392,5.7,87288,100
105,2017,Michigan,26,1441000,0,0,596313,1955654,2246576,2055131,4911247,4685853,225394,4.6,4940313,4734158,206155,4.2,4969294,4766050,203244,4.1,4846013,4361873,484140,10,4776110,4495651,280459,5.9,61352,100
106,2018,Michigan,26,735000,0,0,596313,1955654,2246576,2055131,4911247,4685853,225394,4.6,4940313,4734158,206155,4.2,4969294,4766050,203244,4.1,4846013,4361873,484140,10,4776110,4495651,280459,5.9,61352,100
107,2019,Michigan,26,1320000,0,0,596313,1955654,2246576,2055131,4911247,4685853,225394,4.6,4940313,4734158,206155,4.2,4969294,4766050,203244,4.1,4846013,4361873,484140,10,4776110,4495651,280459,5.9,61352,100
108,2020,Michigan,26,1469000,589728,13816,596313,1955654,2246576,2055131,4911247,4685853,225394,4.6,4940313,4734158,206155,4.2,4969294,4766050,203244,4.1,4846013,4361873,484140,10,4776110,4495651,280459,5.9,61352,100
109,2021,Michigan,26,1571000,1710271,29019,596313,1955654,2246576,2055131,4911247,4685853,225394,4.6,4940313,4734158,206155,4.2,4969294,4766050,203244,4.1,4846013,4361873,484140,10,4776110,4495651,280459,5.9,61352,100
110,2017,Minnesota,27,806000,0,0,252331,921198,1230334,1398575,3071006,2963830,107176,3.5,3085627,2989055,96572,3.1,3129844,3021984,107860,3.4,3122981,2925515,197466,6.3,3021360,2918393,102967,3.4,75489,100
111,2018,Minnesota,27,392000,0,0,252331,921198,1230334,1398575,3071006,2963830,107176,3.5,3085627,2989055,96572,3.1,3129844,3021984,107860,3.4,3122981,2925515,197466,6.3,3021360,2918393,102967,3.4,75489,100
112,2019,Minnesota,27,759000,0,0,252331,921198,1230334,1398575,3071006,2963830,107176,3.5,3085627,2989055,96572,3.1,3129844,3021984,107860,3.4,3122981,2925515,197466,6.3,3021360,2918393,102967,3.4,75489,100
113,2020,Minnesota,27,819000,415302,5382,252331,921198,1230334,1398575,3071006,2963830,107176,3.5,3085627,2989055,96572,3.1,3129844,3021984,107860,3.4,3122981,2925515,197466,6.3,3021360,2918393,102967,3.4,75489,100
114,2021,Minnesota,27,876000,1022212,10656,252331,921198,1230334,1398575,3071006,2963830,107176,3.5,3085627,2989055,96572,3.1,3129844,3021984,107860,3.4,3122981,2925515,197466,6.3,3021360,2918393,102967,3.4,75489,100
