,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher
171,2018,Oregon,41,807000,0,0,260785,667341,1003660,1013044
172,2019,Oregon,41,714000,0,0,260785,667341,1003660,1013044
173,2020,Oregon,41,731000,113909,1477,260785,667341,1003660,1013044
174,2021,Oregon,41,783000,421263,5655,260785,667341,1003660,1013044
175,2017,Pennsylvania,42,1731000,0,0,809967,3072381,2201133,2906517
176,2018,Pennsylvania,42,806000,0,0,809967,3072381,2201133,2906517
177,2019,Pennsylvania,42,1861000,0,0,809967,3072381,2201133,2906517
178,2020,Pennsylvania,42,1814000,648569,15978,809967,3072381,2201133,2906517
179,2021,Pennsylvania,42,1963000,2036424,36705,809967,3072381,2201133,2906517
180,2017,Rhode Island,44,178000,0,0,80258,207358,194110,259644
181,2018,Rhode Island,44,102000,0,0,80258,207358,194110,259644
182,2019,Rhode Island,44,160000,0,0,80258,207358,194110,259644
183,2020,Rhode Island,44,178000,85399,1778,80258,207358,194110,259644
184,2021,Rhode Island,44,187000,222729,3074,80258,207358,194110,259644
185,2017,South Carolina,45,636000,0,0,410334,1014022,1069964,1018306
186,2018,South Carolina,45,1587000,0,0,410334,1014022,1069964,1018306
187,2019,South Carolina,45,677000,0,0,410334,1014022,1069964,1018306
188,2020,South Carolina,45,706000,317430,5306,410334,1014022,1069964,1018306
189,2021,South Carolina,45,760000,978154,14675,410334,1014022,1069964,1018306
190,2017,South Dakota,46,104000,0,0,45170,175340,189743,169991
191,2018,South Dakota,46,993000,0,0,45170,175340,189743,169991
192,2019,South Dakota,46,113000,0,0,45170,175340,189743,169991
193,2020,South Dakota,46,112000,99164,1488,45170,175340,189743,169991
194,2021,South Dakota,46,118000,179204,2486,45170,175340,189743,169991
195,2017,Tennessee,47,1005000,0,0,547733,1479648,1313494,1308972
196,2018,Tennessee,47,1731000,0,0,547733,1479648,1313494,1308972
197,2019,Tennessee,47,986000,0,0,547733,1479648,1313494,1308972
198,2020,Tennessee,47,937000,576157,6810,547733,1479648,1313494,1308972
199,2021,Tennessee,47,1006000,1425369,20880,547733,1479648,1313494,1308972
200,2017,Texas,48,3229000,0,0,2884734,4559034,5343905,5662178
201,2018,Texas,48,94000,0,0,2884734,4559034,5343905,5662178
202,2019,Texas,48,3196000,0,0,2884734,4559034,5343905,5662178
203,2020,Texas,48,3347000,1756172,31282,2884734,4559034,5343905,5662178
204,2021,Texas,48,3602000,4576799,74491,2884734,4559034,5343905,5662178
205,2017,Utah,49,417000,0,0,131710,425180,663512,648070
206,2018,Utah,49,417000,0,0,131710,425180,663512,648070
207,2019,Utah,49,464000,0,0,131710,425180,663512,648070
208,2020,Utah,49,550000,276612,1269,131710,425180,663512,648070
209,2021,Utah,49,599000,636992,3787,131710,425180,663512,648070
210,2017,Vermont,50,102000,0,0,28757,124892,113112,175328
211,2018,Vermont,50,1005000,0,0,28757,124892,113112,175328
212,2019,Vermont,50,104000,0,0,28757,124892,113112,175328
213,2020,Vermont,50,104000,6970,145,28757,124892,113112,175328
214,2021,Vermont,50,112000,60788,453,28757,124892,113112,175328
215,2017,Washington,53,1049000,0,0,431403,1133689,1727441,1907238
216,2018,Washington,53,692000,0,0,431403,1133689,1727441,1907238
217,2019,Washington,53,1139000,0,0,431403,1133689,1727441,1907238
218,2020,Washington,53,1269000,244803,3461,431403,1133689,1727441,1907238
219,2021,Washington,53,1360000,859170,9853,431403,1133689,1727441,1907238
220,2017,West Virginia,54,305000,0,0,159031,513143,338270,273425
221,2018,West Virginia,54,1049000,0,0,159031,513143,338270,273425
222,2019,West Virginia,54,300000,0,0,159031,513143,338270,273425
223,2020,West Virginia,54,337000,85334,1338,159031,513143,338270,273425
224,2021,West Virginia,54,347000,328162,5336,159031,513143,338270,273425
225,2017,Wisconsin,55,807000,0,0,295207,1205321,1255043,1226547
226,2018,Wisconsin,55,251000,0,0,295207,1205321,1255043,1226547
227,2019,Wisconsin,55,817000,0,0,295207,1205321,1255043,1226547
228,2020,Wisconsin,55,859000,520438,5242,295207,1205321,1255043,1226547
229,2021,Wisconsin,55,904000,1120669,11173,295207,1205321,1255043,1226547
230,2017,Wyoming,56,83000,0,0,25201,112183,144736,110699
231,2018,Wyoming,56,1777000,0,0,25201,112183,144736,110699
232,2019,Wyoming,56,85000,0,0,25201,112183,144736,110699
233,2020,Wyoming,56,88000,44409,438,25201,112183,144736,110699
234,2021,Wyoming,56,98000,115638,1526,25201,112183,144736,110699
235,2020,New York,36,2802000,548154,12566,1743890,3474389,3318086,5112792
236,2021,New York,36,2972000,1924606,23611,1743890,3474389,3318086,5112792
237,2020,Virginia,51,1115000,354767,5081,563601,1392823,1571035,2304490
238,2021,Virginia,51,1199000,1133238,15601,563601,1392823,1571035,2304490
