,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Employed_2017,Unemployed_2017,Employed_2018,Unemployed_2018,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020
80,2017,Kentucky,21,663000,0,0,389642,990196,895321,759332,1955234,98164,1968398,86515,1986171,84238,1886999,129803,1941737,95205,54074
81,2018,Kentucky,21,305000,0,0,389642,990196,895321,759332,1955234,98164,1968398,86515,1986171,84238,1886999,129803,1941737,95205,54074
82,2019,Kentucky,21,737000,0,0,389642,990196,895321,759332,1955234,98164,1968398,86515,1986171,84238,1886999,129803,1941737,95205,54074
83,2020,Kentucky,21,746000,275018,4861,389642,990196,895321,759332,1955234,98164,1968398,86515,1986171,84238,1886999,129803,1941737,95205,54074
84,2021,Kentucky,21,762000,880163,13063,389642,990196,895321,759332,1955234,98164,1968398,86515,1986171,84238,1886999,129803,1941737,95205,54074
85,2017,Maine,23,217000,0,0,66525,307457,289228,319175,680164,23707,681334,21804,682271,19360,641262,33969,650334,31550,59145
86,2018,Maine,23,309000,0,0,66525,307457,289228,319175,680164,23707,681334,21804,682271,19360,641262,33969,650334,31550,59145
87,2019,Maine,23,187000,0,0,66525,307457,289228,319175,680164,23707,681334,21804,682271,19360,641262,33969,650334,31550,59145
88,2020,Maine,23,223000,25924,347,66525,307457,289228,319175,680164,23707,681334,21804,682271,19360,641262,33969,650334,31550,59145
89,2021,Maine,23,238000,154173,1531,66525,307457,289228,319175,680164,23707,681334,21804,682271,19360,641262,33969,650334,31550,59145
90,2017,Maryland,24,735000,0,0,393028,1006008,1062484,1703178,3114580,129316,3142323,118745,3212155,114342,3012106,215421,2992228,183322,88589
91,2018,Maryland,24,5241000,0,0,393028,1006008,1062484,1703178,3114580,129316,3142323,118745,3212155,114342,3012106,215421,2992228,183322,88589
92,2019,Maryland,24,758000,0,0,393028,1006008,1062484,1703178,3114580,129316,3142323,118745,3212155,114342,3012106,215421,2992228,183322,88589
93,2020,Maryland,24,781000,276662,6257,393028,1006008,1062484,1703178,3114580,129316,3142323,118745,3212155,114342,3012106,215421,2992228,183322,88589
94,2021,Maryland,24,810000,720888,11875,393028,1006008,1062484,1703178,3114580,129316,3142323,118745,3212155,114342,3012106,215421,2992228,183322,88589
95,2017,Massachusetts,25,1056000,0,0,429794,1133358,1108037,2144142,3582389,142131,3678445,131428,3714547,117400,3390249,351435,3535478,215392,87288
96,2018,Massachusetts,25,1106000,0,0,429794,1133358,1108037,2144142,3582389,142131,3678445,131428,3714547,117400,3390249,351435,3535478,215392,87288
97,2019,Massachusetts,25,1034000,0,0,429794,1133358,1108037,2144142,3582389,142131,3678445,131428,3714547,117400,3390249,351435,3535478,215392,87288
98,2020,Massachusetts,25,1155000,375178,12613,429794,1133358,1108037,2144142,3582389,142131,3678445,131428,3714547,117400,3390249,351435,3535478,215392,87288
99,2021,Massachusetts,25,1157000,1140614,20273,429794,1133358,1108037,2144142,3582389,142131,3678445,131428,3714547,117400,3390249,351435,3535478,215392,87288
100,2017,Michigan,26,1441000,0,0,596313,1955654,2246576,2055131,4685853,225394,4734158,206155,4766050,203244,4361873,484140,4495651,280459,61352
101,2018,Michigan,26,735000,0,0,596313,1955654,2246576,2055131,4685853,225394,4734158,206155,4766050,203244,4361873,484140,4495651,280459,61352
102,2019,Michigan,26,1320000,0,0,596313,1955654,2246576,2055131,4685853,225394,4734158,206155,4766050,203244,4361873,484140,4495651,280459,61352
103,2020,Michigan,26,1469000,589728,13816,596313,1955654,2246576,2055131,4685853,225394,4734158,206155,4766050,203244,4361873,484140,4495651,280459,61352
104,2021,Michigan,26,1571000,1710271,29019,596313,1955654,2246576,2055131,4685853,225394,4734158,206155,4766050,203244,4361873,484140,4495651,280459,61352
105,2017,Minnesota,27,806000,0,0,252331,921198,1230334,1398575,2963830,107176,2989055,96572,3021984,107860,2925515,197466,2918393,102967,75489
106,2018,Minnesota,27,392000,0,0,252331,921198,1230334,1398575,2963830,107176,2989055,96572,3021984,107860,2925515,197466,2918393,102967,75489
107,2019,Minnesota,27,759000,0,0,252331,921198,1230334,1398575,2963830,107176,2989055,96572,3021984,107860,2925515,197466,2918393,102967,75489
108,2020,Minnesota,27,819000,415302,5382,252331,921198,1230334,1398575,2963830,107176,2989055,96572,3021984,107860,2925515,197466,2918393,102967,75489
109,2021,Minnesota,27,876000,1022212,10656,252331,921198,1230334,1398575,2963830,107176,2989055,96572,3021984,107860,2925515,197466,2918393,102967,75489
110,2017,Mississippi,28,422000,0,0,291035,596914,643964,451199,1206102,66583,1205737,62698,1207543,69600,1145211,98304,1184401,69838,47368
111,2018,Mississippi,28,663000,0,0,291035,596914,643964,451199,1206102,66583,1205737,62698,1207543,69600,1145211,98304,1184401,69838,47368
112,2019,Mississippi,28,385000,0,0,291035,596914,643964,451199,1206102,66583,1205737,62698,1207543,69600,1145211,98304,1184401,69838,47368
113,2020,Mississippi,28,431000,221928,5646,291035,596914,643964,451199,1206102,66583,1205737,62698,1207543,69600,1145211,98304,1184401,69838,47368
114,2021,Mississippi,28,446000,543737,10450,291035,596914,643964,451199,1206102,66583,1205737,62698,1207543,69600,1145211,98304,1184401,69838,47368
115,2017,Missouri,29,862000,0,0,393045,1275987,1257176,1250584,2939306,114220,2949910,95955,2976643,95430,2853353,183809,2928368,134081,58812
